confirm,dead,heal,date,r,i
4430,7,3879,1,3886,544
4475,7,3888,2,3895,580
4502,7,3900,3,3907,595
4527,7,3908,4,3915,612
4562,7,3973,5,3980,582
4602,7,4000,6,4007,595
4631,7,4032,7,4039,592
4677,7,4050,8,4057,620
4720,7,4067,9,4074,646
4747,7,4087,10,4094,653
4761,7,4113,11,4120,641
4818,7,4146,12,4153,665
4839,7,4161,13,4168,671
4854,7,4194,14,4201,653
4877,7,4227,15,4234,643
4944,7,4281,16,4288,656
4964,7,4307,17,4314,650
4986,7,4428,18,4435,551
5027,7,4472,19,4479,548
5066,7,4612,20,4619,447
5080,7,4635,21,4642,438
5094,7,4716,22,4723,371
5135,7,4779,23,4786,349
5182,7,4800,24,4807,375
5233,7,4833,25,4840,393
5293,7,4870,26,4877,416
5400,7,4898,27,4905,495
5729,7,4943,28,4950,779
6087,7,4972,29,4979,1108
6452,7,4998,30,5005,1447
6714,7,5037,31,5044,1670
7158,7,5068,32,5075,2083
7591,7,5098,33,5105,2486
7862,7,5125,34,5132,2730
8177,7,5166,35,5173,3004
8506,7,5213,36,5220,3286
9334,7,5270,37,5277,4057
10351,7,5389,38,5396,4955
10351,7,5389,39,5396,4955
12283,7,5914,40,5921,6362
12283,7,5914,41,5921,6362
14471,7,6646,42,6653,7818
17044,7,7387,43,7394,9650
20244,7,7936,44,7943,12301
23838,7,7936,45,7943,15895
27078,7,8309,46,8316,18762
29498,10,10021,47,10031,19467
32582,17,11238,48,11255,21327
35077,24,12923,49,12947,22130
37712,32,14100,50,14132,23580
39643,43,15836,51,15879,23764
42379,55,17715,52,17770,24609
43780,94,19958,53,20052,23728
46252,145,22409,54,22554,23698
47913,197,24352,55,24549,23364
49519,245,26992,56,27237,22282
50811,292,29302,57,29594,21217
50811,292,29302,58,29594,21217
57550,391,34593,59,34984,22566
58339,429,37649,60,38078,20261
59068,461,41891,61,42352,16716
59343,481,45872,62,46353,12990
59605,497,47742,63,48239,11366
59868,510,49481,64,49991,9877
60113,522,50871,65,51393,8720
60366,535,52535,66,53070,7296
60583,543,53476,67,54019,6564
60907,554,54121,68,54675,6232
61141,560,54968,69,55528,5613
61370,567,55575,70,56142,5228
61514,572,56008,71,56580,4934
61741,574,56424,72,56998,4743
61936,575,57146,73,57721,4215
62104,578,57439,74,58017,4087
62174,582,57910,75,58492,3682
62251,583,58225,76,58808,3443
62348,586,58499,77,59085,3263
62431,587,58766,78,59353,3078
62521,587,58952,79,59539,2982
62605,588,59211,80,59799,2806
62658,591,59555,81,60146,2512
62714,592,59792,82,60384,2330
62772,593,60172,83,60765,2007
62816,593,60440,84,61033,1783
62865,594,60784,85,61378,1487
62911,595,60912,86,61507,1404
62950,595,61074,87,61669,1281
62982,595,61188,88,61783,1199
62988,595,61310,89,61905,1083
63001,595,61499,90,62094,907
63007,595,61600,91,62195,812
63016,595,61728,92,62323,693
63026,595,61809,93,62404,622
63033,595,61989,94,62584,449
63040,595,62151,95,62746,294
63044,595,62325,96,62920,124
63050,595,62384,97,62979,71
63062,595,62042,98,62637,425
63066,595,62122,99,62717,349
63074,595,62226,100,62821,253
63085,595,62257,101,62852,233
63096,595,62283,102,62878,218
63109,595,62317,103,62912,197
63114,595,62340,104,62935,179
63132,595,62354,105,62949,183
63145,595,62385,106,62980,165
63150,595,62407,107,63002,148
63153,595,62416,108,63011,142
63162,595,62416,109,63011,151
63177,595,62433,110,63028,149
63192,595,62446,111,63041,151
63196,595,62452,112,63047,149
63214,595,62463,113,63058,156
63219,595,62475,114,63070,149
63224,595,62484,115,63079,145
63228,595,62515,116,63110,118
63236,595,62522,117,63117,119
63239,595,62526,118,63121,118
63240,595,62532,119,63127,113
63250,595,62547,120,63142,108
