confirm,dead,heal,date
4430,7,3879,1
4475,7,3888,2
4502,7,3900,3
4527,7,3908,4
4562,7,3973,5
4602,7,4000,6
4631,7,4032,7
4677,7,4050,8
4720,7,4067,9
4747,7,4087,10
4761,7,4113,11
4818,7,4146,12
4839,7,4161,13
4854,7,4194,14
4877,7,4227,15
4944,7,4281,16
4964,7,4307,17
4986,7,4428,18
5027,7,4472,19
5066,7,4612,20
5080,7,4635,21
5094,7,4716,22
5135,7,4779,23
5182,7,4800,24
5233,7,4833,25
5293,7,4870,26
5400,7,4898,27
5729,7,4943,28
6087,7,4972,29
6452,7,4998,30
6714,7,5037,31
7158,7,5068,32
7591,7,5098,33
7862,7,5125,34
8177,7,5166,35
8506,7,5213,36
9334,7,5270,37
10351,7,5389,38
10351,7,5389,39
12283,7,5914,40
12283,7,5914,41
14471,7,6646,42
17044,7,7387,43
20244,7,7936,44
23838,7,7936,45
27078,7,8309,46
29498,10,10021,47
32582,17,11238,48
35077,24,12923,49
37712,32,14100,50
39643,43,15836,51
42379,55,17715,52
43780,94,19958,53
46252,145,22409,54
47913,197,24352,55
49519,245,26992,56
50811,292,29302,57
50811,292,29302,58
57550,391,34593,59
58339,429,37649,60
59068,461,41891,61
59343,481,45872,62
59605,497,47742,63
59868,510,49481,64
60113,522,50871,65
60366,535,52535,66
60583,543,53476,67
60907,554,54121,68
61141,560,54968,69
61370,567,55575,70
61514,572,56008,71
61741,574,56424,72
61936,575,57146,73
62104,578,57439,74
62174,582,57910,75
62251,583,58225,76
62348,586,58499,77
62431,587,58766,78
62521,587,58952,79
62605,588,59211,80
62658,591,59555,81
62714,592,59792,82
62772,593,60172,83
62816,593,60440,84
62865,594,60784,85
62911,595,60912,86
62950,595,61074,87
62982,595,61188,88
62988,595,61310,89
63001,595,61499,90
63007,595,61600,91
63016,595,61728,92
63026,595,61809,93
63033,595,61989,94
63040,595,62151,95
63044,595,62325,96
63050,595,62384,97
63062,595,62042,98
63066,595,62122,99
63074,595,62226,100
63085,595,62257,101
63096,595,62283,102
63109,595,62317,103
63114,595,62340,104
63132,595,62354,105
63145,595,62385,106
63150,595,62407,107
63153,595,62416,108
63162,595,62416,109
63177,595,62433,110
63192,595,62446,111
63196,595,62452,112
63214,595,62463,113
63219,595,62475,114
63224,595,62484,115
63228,595,62515,116
63236,595,62522,117
63239,595,62526,118
63240,595,62532,119
63250,595,62547,120
