confirm,dead,heal,date,r,i
14471,7,6646,42,6653,7818
17044,7,7387,43,7394,9650
20244,7,7936,44,7943,12301
23838,7,7936,45,7943,15895
27078,7,8309,46,8316,18762
29498,10,10021,47,10031,19467
32582,17,11238,48,11255,21327
35077,24,12923,49,12947,22130
37712,32,14100,50,14132,23580
39643,43,15836,51,15879,23764
42379,55,17715,52,17770,24609
43780,94,19958,53,20052,23728
46252,145,22409,54,22554,23698
47913,197,24352,55,24549,23364
49519,245,26992,56,27237,22282
50811,292,29302,57,29594,21217
50811,292,29302,58,29594,21217
57550,391,34593,59,34984,22566
58339,429,37649,60,38078,20261
59068,461,41891,61,42352,16716
59343,481,45872,62,46353,12990
59605,497,47742,63,48239,11366
59868,510,49481,64,49991,9877
60113,522,50871,65,51393,8720
60366,535,52535,66,53070,7296
60583,543,53476,67,54019,6564
60907,554,54121,68,54675,6232
61141,560,54968,69,55528,5613
61370,567,55575,70,56142,5228
61514,572,56008,71,56580,4934
61741,574,56424,72,56998,4743
61936,575,57146,73,57721,4215
62104,578,57439,74,58017,4087
62174,582,57910,75,58492,3682
62251,583,58225,76,58808,3443
62348,586,58499,77,59085,3263
62431,587,58766,78,59353,3078
62521,587,58952,79,59539,2982
62605,588,59211,80,59799,2806
62658,591,59555,81,60146,2512
62714,592,59792,82,60384,2330
62772,593,60172,83,60765,2007
62816,593,60440,84,61033,1783
62865,594,60784,85,61378,1487
62911,595,60912,86,61507,1404
62950,595,61074,87,61669,1281
62982,595,61188,88,61783,1199
62988,595,61310,89,61905,1083
63001,595,61499,90,62094,907
